conting number,file number,Recorded sound, other message
1,2,C4,,
2,3,D4,,
3,4,E4,,
4,5,F4,,
5,6,G4,,
6,7,A4,,
7,8,B4,,
8,9,C5,,
9,10,C4-E4-G4,,
10,none,none,This square does not exist due to a recording error.,
11,11,C4-E4,,
12,12,E4-G4,,
13,13,C♯4,,
14,14,D♯4,,
15,15,F♯4,,
16,16,G♯4,,
17,17,A♯4,,
18,18,C4-C♯4,,
19,19,C4-D4,,
20,20,C4-D♯4,,
21,21,C4-E4,,
22,22,C4-F4,,
23,23,C4-F♯4,,
24,24,C4-G4,,
25,25,C4-G♯4,,
26,26,C4-A4,,
27,27,C4-A♯4,,
28,28,C4-B4,,
29,29,C4-C5,,
30,30,C4,,
31,31,C3,,
32,32,C2,"Due to a recording error, this is designated as No. 38.",
33,33,C1,The lowest C note on the keyboard,
34,34,C5,,
35,35,C6,,
36,36,C7,,
37,37,C8,The highest C note on the keyboard,
38,38,C2,,
