音名,1音目理論値,2音目理論値,1音目実測値,2音目実測値,1音目Hz誤差,1音目cent誤差,2音目Hz誤差,2音目cent誤差,区間Hz誤差,区間cent誤差,半音数,音程名,純正律比,理論-純正cent,実測-純正cent,うなり周波数(Hz)
C4-E4,261.625565,329.627557,260.742188,328.125,-0.8834,-5.86,-1.5026,-7.91,-0.6192,-2.05,4,長3度,5/4,+13.69,+11.63,8.789
E4-G4,329.627557,391.995436,328.125,392.578125,-1.5026,-7.91,+0.5827,+2.57,+2.0852,+10.48,3,短3度,6/5,-15.64,-5.16,5.859
C4-C♯4,261.625565,277.182631,260.742188,275.390625,-0.8834,-5.86,-1.792,-11.23,-0.9086,-5.37,1,短2度,16/15,-11.73,-17.1,41.016
C4-D4,261.625565,293.664768,260.742188,292.96875,-0.8834,-5.86,-0.696,-4.11,+0.1874,+1.75,2,長2度,9/8,-3.91,-2.16,2.93
C4-D♯4,261.625565,311.126984,260.742188,310.546875,-0.8834,-5.86,-0.5801,-3.23,+0.3033,+2.62,3,短3度,6/5,-15.64,-13.02,11.719
C4-F4,261.625565,349.228231,260.742188,348.632812,-0.8834,-5.86,-0.5954,-2.95,+0.2880,+2.90,5,完全4度,4/3,+1.96,+4.86,2.93
C4-F♯4,261.625565,369.994423,260.742188,369.140625,-0.8834,-5.86,-0.8538,-4,+0.0296,+1.86,6,三全音,45/32,+9.78,+11.63,79.102
C4-G4,261.625565,391.995436,260.742188,392.578125,-0.8834,-5.86,+0.5827,+2.57,+1.4661,+8.43,7,完全5度,3/2,-1.95,+6.47,2.93
C4-G♯4,261.625565,415.304698,260.742188,416.015625,-0.8834,-5.86,+0.7109,+2.96,+1.5943,+8.82,8,短6度,8/5,-13.69,-4.87,5.859
C4-A4,261.625565,440,260.742188,439.453125,-0.8834,-5.86,-0.5469,-2.15,+0.3365,+3.70,9,長6度,5/3,+15.64,+19.34,14.648
C4-A♯4,261.625565,466.163762,260.742188,465.820312,-0.8834,-5.86,-0.3435,-1.28,+0.5399,+4.58,10,短7度,16/9,+3.91,+8.49,20.508
C4-B4,261.625565,493.883301,260.742188,495.117188,-0.8834,-5.86,+1.2339,+4.32,+2.1173,+10.18,11,長7度,15/8,+11.73,+21.91,49.805
C4-C5,261.625565,523.251131,260.742188,524.414062,-0.8834,-5.86,+1.1629,+3.84,+2.0463,+9.70,12,完全8度,2/1,0,+9.70,2.93
,,,,,,,,,,,,,,,,
音名,半音数,音程名,純正律比,理論-純正cent,実測-純正cent,うなり周波数(Hz),,,,,,,,,,
C4-E4,4,長3度,4:5,+13.69,+11.63,8.789,,,,,,,,,,
E4-G4,3,短3度,5:6,-15.64,-5.16,5.859,,,,,,,,,,
C4-C♯4,1,短2度,15:16,-11.73,-17.1,41.016,,,,,,,,,,
C4-D4,2,長2度,8:9,-3.91,-2.16,2.93,,,,,,,,,,
C4-D♯4,3,短3度,5:6,-15.64,-13.02,11.719,,,,,,,,,,
C4-F4,5,完全4度,3:4,+1.96,+4.86,2.93,,,,,,,,,,
C4-F♯4,6,三全音,32:45,+9.78,+11.63,79.102,,,,,,,,,,
C4-G4,7,完全5度,2:3,-1.95,+6.47,2.93,,,,,,,,,,
C4-G♯4,8,短6度,5:8,-13.69,-4.87,5.859,,,,,,,,,,
C4-A4,9,長6度,3:5,+15.64,+19.34,14.648,,,,,,,,,,
C4-A♯4,10,短7度,9:16,+3.91,+8.49,20.508,,,,,,,,,,
C4-B4,11,長7度,8:15,+11.73,+21.91,49.805,,,,,,,,,,
C4-C5,12,完全8度,1:2,0,+9.70,2.93,,,,,,,,,,
,,,,,,,,,,,,,,,,
音名,2音目理論値,2音目実測値,2音目cent誤差,聴き心地,,,,,,,,,,,,
C4-C♯4,277.182631,275.390625,-11.23,良くない,,,,,,,,,,,,
C4-D4,293.664768,292.96875,-4.11,独特な,,,,,,,,,,,,
C4-D♯4,311.126984,310.546875,-3.23,若干協和的,,,,,,,,,,,,
C4-E4,329.627557,328.125,-7.91,若干協和的,,,,,,,,,,,,
C4-F4,349.228231,348.632812,-2.95,協和的,,,,,,,,,,,,
C4-F♯4,369.994423,369.140625,-4,不気味な,,,,,,,,,,,,
C4-G4,391.995436,392.578125,+2.57,協和的,,,,,,,,,,,,
C4-G♯4,415.304698,416.015625,+2.96,若干協和的,,,,,,,,,,,,
C4-A4,440,439.453125,-2.15,若干協和的,,,,,,,,,,,,
C4-A♯4,466.163762,465.820312,-1.28,緊張感,,,,,,,,,,,,
C4-B4,493.883301,495.117188,+4.32,良くない,,,,,,,,,,,,
C4-C5,523.251131,524.414062,+3.84,協和的,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
音名,半音数,純正律比,理論-純正cent,実測-純正cent,うなり周波数(Hz),,,,,,,,,,,
C4-C♯4,1,15:16,-11.73,-17.1,41.016,,,,,,,,,,,
C4-D4,2,8:9,-3.91,-2.16,2.93,,,,,,,,,,,
C4-D♯4,3,5:6,-15.64,-13.02,11.719,,,,,,,,,,,
C4-E4,4,4:5,+13.69,+11.63,8.789,,,,,,,,,,,
C4-F4,5,3:4,+1.96,+4.86,2.93,,,,,,,,,,,
C4-F♯4,6,32:45,+9.78,+11.63,79.102,,,,,,,,,,,
C4-G4,7,2:3,-1.95,+6.47,2.93,,,,,,,,,,,
C4-G♯4,8,5:8,-13.69,-4.87,5.859,,,,,,,,,,,
C4-A4,9,3:5,+15.64,+19.34,14.648,,,,,,,,,,,
C4-A♯4,10,9:16,+3.91,+8.49,20.508,,,,,,,,,,,
C4-B4,11,8:15,+11.73,+21.91,49.805,,,,,,,,,,,
C4-C5,12,1:2,0,+9.70,2.93,,,,,,,,,,,
,,,,,,,,,,,,,,,,
音名,半音数,純正律比,うなり周波数(Hz),,,,,,,,,,,,,
C4-C♯4,1,15:16,41.016,,,,,,,,,,,,,
C4-D4,2,8:9,2.93,,,,,,,,,,,,,
C4-D♯4,3,5:6,11.719,,,,,,,,,,,,,
C4-E4,4,4:5,8.789,,,,,,,,,,,,,
C4-F4,5,3:4,2.93,,,,,,,,,,,,,
C4-F♯4,6,32:45,79.102,,,,,,,,,,,,,
C4-G4,7,2:3,2.93,,,,,,,,,,,,,
C4-G♯4,8,5:8,5.859,,,,,,,,,,,,,
C4-A4,9,3:5,14.648,,,,,,,,,,,,,
C4-A♯4,10,9:16,20.508,,,,,,,,,,,,,
C4-B4,11,8:15,49.805,,,,,,,,,,,,,
C4-C5,12,1:2,2.93,,,,,,,,,,,,,
