音名 , 理論周波数 , 実測周波数 , Hz誤差 , cent誤差 ,
L13 , L13 , L58 , L59 , L61 ,
note , theoretical_frequency_hz , measured_frequency_hz , error_hz, cent_error ,
C4, 261.625565, 260.742188, -0.883377, -5.855397,
D4, 293.664768, 292.968750, -0.696018, -4.108086,
E4, 329.627557, 328.125000, -1.502557, -7.909607,
F4, 349.228231, 348.632812, -0.595419, -2.954198,
G4, 391.995436, 392.578125, 0.582689, 2.571515,
A4, 440.000000, 439.453125, -0.546875, -2.153085,
B4, 493.883301, 495.117188, 1.233887, 4.319810,
C5, 523.251131, 524.414062, 1.162931, 3.843419,
