音名, 1音名理論値, 2音目理論値, 1音目実測値, 2音目実測値,
L12, L13, L14, L67, L75,
C4-E4, 261.625565, 329.627557, 260.742188, 328.125000,
E4-G4, 329.627557, 391.995436, 328.125000, 392.578125,
C4-C♯4, 261.625565, 277.182631, 260.742188, 275.390625,
C4-D4, 261.625565, 293.664768, 260.742188, 292.968750,
C4-D♯4, 261.625565, 311.126984, 260.742188, 310.546875,
C4-F4, 261.625565, 349.228231, 260.742188, 348.632812,
C4-F♯4, 261.625565, 369.994423, 260.742188, 369.140625,
C4-G4, 261.625565, 391.995436, 260.742188, 392.578125,
C4-G♯4, 261.625565, 415.304698, 260.742188, 416.015625,
C4-A4, 261.625565, 440.000000, 260.742188, 439.453125,
C4-A♯4, 261.625565, 466.163762, 260.742188, 465.820312,
C4-B4, 261.625565, 493.883301, 260.742188, 495.117188,
C4-C5, 261.625565, 523.251131, 260.742188, 524.414062,
