time_sec,change
0.901146,0.002289
0.951167,0.003555
1.001562,0.001816
1.051708,0.001907
1.102250,0.001862
1.152417,0.001816
1.203354,0.002090
1.254604,0.002197
1.306500,0.001968
1.356542,0.001846
1.407417,0.001953
1.460646,0.001877
1.510667,0.002975
1.560688,0.002182
1.614521,0.001938
1.664542,0.002090
1.715771,0.001907
1.768083,0.001892
1.820792,0.001831
1.870812,0.002136
1.925125,0.001892
1.975250,0.001816
2.026542,0.002045
2.078708,0.001816
2.132875,0.001816
2.184500,0.001892
2.234583,0.001816
2.294854,0.001892
2.345208,0.001862
2.395750,0.001923
2.448000,0.001877
2.515083,0.001846
2.567083,0.001816
2.760542,0.001862
2.814812,0.001846
21.400000,0.006668
21.485333,0.006668
