frequency_hz,magnitude,magnitude_normalized
0.000000,1.128357,0.021170
2.929688,1.149615,0.021569
5.859375,1.208283,0.022670
8.789062,1.240062,0.023266
11.718750,1.378967,0.025872
14.648438,1.706436,0.032016
17.578125,2.185253,0.041000
20.507812,2.283489,0.042843
23.437500,3.294712,0.061816
26.367188,4.198752,0.078778
29.296875,7.664910,0.143810
32.226562,12.113796,0.227281
35.156250,15.563328,0.292001
38.085938,53.298853,1.000000
41.015625,9.931256,0.186332
43.945312,23.518079,0.441249
46.875000,6.444117,0.120905
49.804688,21.245145,0.398604
52.734375,18.666281,0.350219
55.664062,9.340389,0.175246
58.593750,0.255346,0.004791
61.523438,2.483025,0.046587
64.453125,5.279531,0.099055
67.382812,5.362099,0.100604
70.312500,8.452415,0.158585
73.242188,2.866569,0.053783
76.171875,3.346456,0.062787
79.101562,2.825492,0.053012
82.031250,3.408479,0.063950
84.960938,5.230942,0.098144
87.890625,4.278783,0.080279
90.820312,2.255182,0.042312
93.750000,2.812647,0.052771
96.679688,0.463867,0.008703
99.609375,2.624809,0.049247
102.539062,0.489827,0.009190
105.468750,0.937338,0.017586
108.398438,1.392714,0.026130
111.328125,1.199837,0.022512
114.257812,1.654283,0.031038
117.187500,0.939859,0.017634
120.117188,1.435515,0.026933
123.046875,1.541033,0.028913
125.976562,1.727607,0.032414
128.906250,1.618508,0.030367
131.835938,1.061663,0.019919
134.765625,0.805931,0.015121
137.695312,0.557906,0.010467
140.625000,0.480499,0.009015
143.554688,1.300050,0.024392
146.484375,1.395723,0.026187
149.414062,0.476414,0.008939
152.343750,0.616710,0.011571
155.273438,1.710022,0.032084
158.203125,1.046007,0.019625
161.132812,1.330700,0.024967
164.062500,0.814031,0.015273
166.992188,0.215553,0.004044
169.921875,0.328454,0.006163
172.851562,0.389041,0.007299
175.781250,0.605002,0.011351
178.710938,0.753481,0.014137
181.640625,0.773806,0.014518
184.570312,0.641837,0.012042
187.500000,0.759919,0.014258
190.429688,0.722677,0.013559
193.359375,0.365476,0.006857
196.289062,0.413871,0.007765
199.218750,0.331501,0.006220
202.148438,0.511068,0.009589
205.078125,0.368365,0.006911
208.007812,0.514121,0.009646
210.937500,0.521612,0.009787
213.867188,0.576338,0.010813
216.796875,0.780381,0.014642
219.726562,0.269526,0.005057
222.656250,0.544990,0.010225
225.585938,0.470924,0.008836
228.515625,0.399394,0.007493
231.445312,0.394434,0.007400
234.375000,0.525425,0.009858
237.304688,0.216595,0.004064
240.234375,0.519908,0.009755
243.164062,0.548035,0.010282
246.093750,0.469717,0.008813
249.023438,0.431557,0.008097
251.953125,0.440641,0.008267
254.882812,0.396130,0.007432
257.812500,0.321892,0.006039
260.742188,0.360193,0.006758
263.671875,0.481865,0.009041
266.601562,0.396529,0.007440
269.531250,0.344904,0.006471
272.460938,0.328556,0.006164
275.390625,0.434241,0.008147
278.320312,0.413040,0.007750
281.250000,0.366897,0.006884
284.179688,0.323281,0.006065
287.109375,0.258010,0.004841
290.039062,0.251757,0.004723
292.968750,0.382793,0.007182
295.898438,0.427431,0.008020
298.828125,0.481060,0.009026
301.757812,0.357658,0.006710
304.687500,0.380183,0.007133
307.617188,0.356900,0.006696
310.546875,0.439556,0.008247
313.476562,0.469003,0.008799
316.406250,0.389688,0.007311
319.335938,0.384774,0.007219
322.265625,0.315889,0.005927
325.195312,0.406946,0.007635
328.125000,0.344362,0.006461
331.054688,0.288148,0.005406
333.984375,0.329820,0.006188
336.914062,0.283926,0.005327
339.843750,0.322131,0.006044
342.773438,0.270550,0.005076
345.703125,0.294122,0.005518
348.632812,0.351585,0.006596
351.562500,0.174301,0.003270
354.492188,0.232124,0.004355
357.421875,0.213841,0.004012
360.351562,0.326008,0.006117
363.281250,0.291013,0.005460
366.210938,0.339077,0.006362
369.140625,0.257881,0.004838
372.070312,0.332025,0.006229
375.000000,0.349742,0.006562
377.929688,0.247358,0.004641
380.859375,0.318911,0.005983
383.789062,0.243306,0.004565
386.718750,0.242434,0.004549
389.648438,0.272219,0.005107
392.578125,0.196890,0.003694
395.507812,0.279187,0.005238
398.437500,0.213917,0.004014
401.367188,0.240891,0.004520
404.296875,0.220126,0.004130
407.226562,0.195821,0.003674
410.156250,0.275075,0.005161
413.085938,0.276074,0.005180
416.015625,0.254630,0.004777
418.945312,0.246709,0.004629
421.875000,0.290243,0.005446
424.804688,0.191890,0.003600
427.734375,0.217765,0.004086
430.664062,0.198323,0.003721
433.593750,0.256602,0.004814
436.523438,0.219834,0.004125
439.453125,0.262211,0.004920
442.382812,0.209634,0.003933
445.312500,0.229244,0.004301
448.242188,0.213309,0.004002
451.171875,0.206188,0.003869
454.101562,0.222652,0.004177
457.031250,0.189279,0.003551
459.960938,0.222503,0.004175
462.890625,0.228621,0.004289
465.820312,0.174682,0.003277
468.750000,0.127488,0.002392
471.679688,0.170588,0.003201
474.609375,0.159543,0.002993
477.539062,0.180390,0.003385
480.468750,0.292069,0.005480
483.398438,0.234039,0.004391
486.328125,0.191398,0.003591
489.257812,0.148131,0.002779
492.187500,0.257670,0.004834
495.117188,0.196065,0.003679
498.046875,0.243854,0.004575
500.976562,0.224283,0.004208
503.906250,0.210197,0.003944
506.835938,0.213843,0.004012
509.765625,0.203606,0.003820
512.695312,0.128814,0.002417
515.625000,0.183410,0.003441
518.554688,0.146848,0.002755
521.484375,0.156372,0.002934
524.414062,0.168495,0.003161
527.343750,0.169436,0.003179
530.273438,0.140666,0.002639
533.203125,0.243598,0.004570
536.132812,0.201133,0.003774
539.062500,0.201834,0.003787
541.992188,0.199214,0.003738
544.921875,0.178928,0.003357
547.851562,0.179489,0.003368
550.781250,0.137036,0.002571
553.710938,0.140234,0.002631
556.640625,0.194946,0.003658
559.570312,0.145509,0.002730
562.500000,0.169864,0.003187
565.429688,0.163520,0.003068
568.359375,0.138638,0.002601
571.289062,0.151864,0.002849
574.218750,0.119383,0.002240
577.148438,0.192136,0.003605
580.078125,0.160620,0.003014
583.007812,0.158950,0.002982
585.937500,0.174904,0.003282
588.867188,0.149260,0.002800
591.796875,0.131035,0.002458
594.726562,0.172245,0.003232
597.656250,0.140983,0.002645
600.585938,0.188865,0.003544
603.515625,0.165030,0.003096
606.445312,0.165273,0.003101
609.375000,0.181533,0.003406
612.304688,0.171682,0.003221
615.234375,0.159104,0.002985
618.164062,0.123532,0.002318
621.093750,0.139953,0.002626
624.023438,0.178977,0.003358
626.953125,0.189053,0.003547
629.882812,0.152936,0.002869
632.812500,0.153122,0.002873
635.742188,0.170373,0.003197
638.671875,0.162946,0.003057
641.601562,0.174201,0.003268
644.531250,0.157457,0.002954
647.460938,0.156476,0.002936
650.390625,0.163825,0.003074
653.320312,0.156034,0.002928
656.250000,0.145200,0.002724
659.179688,0.142600,0.002675
662.109375,0.141849,0.002661
665.039062,0.147900,0.002775
667.968750,0.150644,0.002826
670.898438,0.149873,0.002812
673.828125,0.151367,0.002840
676.757812,0.154686,0.002902
679.687500,0.149748,0.002810
682.617188,0.147347,0.002765
685.546875,0.120200,0.002255
688.476562,0.130734,0.002453
691.406250,0.170513,0.003199
694.335938,0.171979,0.003227
697.265625,0.150554,0.002825
700.195312,0.135824,0.002548
703.125000,0.175097,0.003285
706.054688,0.159087,0.002985
708.984375,0.153459,0.002879
711.914062,0.097335,0.001826
714.843750,0.121528,0.002280
717.773438,0.150534,0.002824
720.703125,0.147626,0.002770
723.632812,0.174254,0.003269
726.562500,0.130815,0.002454
729.492188,0.153385,0.002878
732.421875,0.116756,0.002191
735.351562,0.139769,0.002622
738.281250,0.114666,0.002151
741.210938,0.135137,0.002535
744.140625,0.137897,0.002587
747.070312,0.124772,0.002341
750.000000,0.113343,0.002127
752.929688,0.157545,0.002956
755.859375,0.147703,0.002771
758.789062,0.147489,0.002767
761.718750,0.141964,0.002664
764.648438,0.139257,0.002613
767.578125,0.165853,0.003112
770.507812,0.110161,0.002067
773.437500,0.168440,0.003160
776.367188,0.133800,0.002510
779.296875,0.144946,0.002720
782.226562,0.101966,0.001913
785.156250,0.076488,0.001435
788.085938,0.130160,0.002442
791.015625,0.113155,0.002123
793.945312,0.106376,0.001996
796.875000,0.081893,0.001536
799.804688,0.114834,0.002155
802.734375,0.106891,0.002006
805.664062,0.109262,0.002050
808.593750,0.060874,0.001142
811.523438,0.100688,0.001889
814.453125,0.143599,0.002694
817.382812,0.180012,0.003377
820.312500,0.200720,0.003766
823.242188,0.079354,0.001489
826.171875,0.100797,0.001891
829.101562,0.117886,0.002212
832.031250,0.143312,0.002689
834.960938,0.122630,0.002301
837.890625,0.129880,0.002437
840.820312,0.093845,0.001761
843.750000,0.096938,0.001819
846.679688,0.109615,0.002057
849.609375,0.087417,0.001640
852.539062,0.138602,0.002600
855.468750,0.129905,0.002437
858.398438,0.123546,0.002318
861.328125,0.130453,0.002448
864.257812,0.148446,0.002785
867.187500,0.134106,0.002516
870.117188,0.118093,0.002216
873.046875,0.131403,0.002465
875.976562,0.080835,0.001517
878.906250,0.131375,0.002465
881.835938,0.117230,0.002199
884.765625,0.120685,0.002264
887.695312,0.091662,0.001720
890.625000,0.103099,0.001934
893.554688,0.103192,0.001936
896.484375,0.064859,0.001217
899.414062,0.085889,0.001611
902.343750,0.080853,0.001517
905.273438,0.101857,0.001911
908.203125,0.119125,0.002235
911.132812,0.119394,0.002240
914.062500,0.135900,0.002550
916.992188,0.107566,0.002018
919.921875,0.096518,0.001811
922.851562,0.104034,0.001952
925.781250,0.067059,0.001258
928.710938,0.101513,0.001905
931.640625,0.124194,0.002330
934.570312,0.123828,0.002323
937.500000,0.154051,0.002890
940.429688,0.147351,0.002765
943.359375,0.096436,0.001809
946.289062,0.139831,0.002624
949.218750,0.057578,0.001080
952.148438,0.146927,0.002757
955.078125,0.162576,0.003050
958.007812,0.237674,0.004459
960.937500,0.054181,0.001017
963.867188,0.155209,0.002912
966.796875,0.150447,0.002823
969.726562,0.215060,0.004035
972.656250,0.092784,0.001741
975.585938,0.043520,0.000817
978.515625,0.107740,0.002021
981.445312,0.080603,0.001512
984.375000,0.078576,0.001474
987.304688,0.101488,0.001904
990.234375,0.086398,0.001621
993.164062,0.097778,0.001835
996.093750,0.108773,0.002041
999.023438,0.140727,0.002640
1001.953125,0.122094,0.002291
1004.882812,0.107524,0.002017
1007.812500,0.086854,0.001630
1010.742188,0.097741,0.001834
1013.671875,0.106484,0.001998
1016.601562,0.098367,0.001846
1019.531250,0.077882,0.001461
1022.460938,0.115203,0.002161
1025.390625,0.099405,0.001865
1028.320312,0.051460,0.000965
1031.250000,0.122473,0.002298
1034.179688,0.073621,0.001381
1037.109375,0.099460,0.001866
1040.039062,0.054294,0.001019
1042.968750,0.116880,0.002193
1045.898438,0.074595,0.001400
1048.828125,0.072162,0.001354
1051.757812,0.067950,0.001275
1054.687500,0.102707,0.001927
1057.617188,0.067575,0.001268
1060.546875,0.088394,0.001658
1063.476562,0.109842,0.002061
1066.406250,0.104253,0.001956
1069.335938,0.053070,0.000996
1072.265625,0.111131,0.002085
1075.195312,0.141521,0.002655
1078.125000,0.083011,0.001557
1081.054688,0.118413,0.002222
1083.984375,0.103326,0.001939
1086.914062,0.072920,0.001368
1089.843750,0.085602,0.001606
1092.773438,0.051658,0.000969
1095.703125,0.088509,0.001661
1098.632812,0.087966,0.001650
1101.562500,0.094917,0.001781
1104.492188,0.084918,0.001593
1107.421875,0.107492,0.002017
1110.351562,0.127744,0.002397
1113.281250,0.053500,0.001004
1116.210938,0.117445,0.002204
1119.140625,0.085258,0.001600
1122.070312,0.081444,0.001528
1125.000000,0.112128,0.002104
1127.929688,0.070853,0.001329
1130.859375,0.104529,0.001961
1133.789062,0.080534,0.001511
1136.718750,0.107384,0.002015
1139.648438,0.132055,0.002478
1142.578125,0.074476,0.001397
1145.507812,0.093803,0.001760
1148.437500,0.086525,0.001623
1151.367188,0.094545,0.001774
1154.296875,0.093918,0.001762
1157.226562,0.074442,0.001397
1160.156250,0.091629,0.001719
1163.085938,0.109714,0.002058
1166.015625,0.092619,0.001738
1168.945312,0.093338,0.001751
1171.875000,0.091067,0.001709
1174.804688,0.126300,0.002370
1177.734375,0.105030,0.001971
1180.664062,0.064455,0.001209
1183.593750,0.131127,0.002460
1186.523438,0.072188,0.001354
1189.453125,0.086018,0.001614
1192.382812,0.071995,0.001351
1195.312500,0.086291,0.001619
1198.242188,0.016551,0.000311
1201.171875,0.094103,0.001766
1204.101562,0.083065,0.001558
1207.031250,0.084667,0.001589
1209.960938,0.102316,0.001920
1212.890625,0.087766,0.001647
1215.820312,0.084703,0.001589
1218.750000,0.105761,0.001984
1221.679688,0.061055,0.001146
1224.609375,0.094608,0.001775
1227.539062,0.108877,0.002043
1230.468750,0.093688,0.001758
1233.398438,0.061612,0.001156
1236.328125,0.097457,0.001829
1239.257812,0.095573,0.001793
1242.187500,0.071422,0.001340
1245.117188,0.074683,0.001401
1248.046875,0.063256,0.001187
1250.976562,0.073514,0.001379
1253.906250,0.102565,0.001924
1256.835938,0.076164,0.001429
1259.765625,0.048005,0.000901
1262.695312,0.074640,0.001400
1265.625000,0.083697,0.001570
1268.554688,0.084716,0.001589
1271.484375,0.085106,0.001597
1274.414062,0.062476,0.001172
1277.343750,0.081645,0.001532
1280.273438,0.051832,0.000972
1283.203125,0.080965,0.001519
1286.132812,0.097945,0.001838
1289.062500,0.081234,0.001524
1291.992188,0.082715,0.001552
1294.921875,0.043695,0.000820
1297.851562,0.070431,0.001321
1300.781250,0.077341,0.001451
1303.710938,0.057383,0.001077
1306.640625,0.056321,0.001057
1309.570312,0.056228,0.001055
1312.500000,0.075251,0.001412
1315.429688,0.068346,0.001282
1318.359375,0.047417,0.000890
1321.289062,0.057904,0.001086
1324.218750,0.091081,0.001709
1327.148438,0.086976,0.001632
1330.078125,0.062344,0.001170
1333.007812,0.086622,0.001625
1335.937500,0.084559,0.001587
1338.867188,0.063322,0.001188
1341.796875,0.078792,0.001478
1344.726562,0.078524,0.001473
1347.656250,0.063715,0.001195
1350.585938,0.071311,0.001338
1353.515625,0.065813,0.001235
1356.445312,0.078152,0.001466
1359.375000,0.088459,0.001660
1362.304688,0.093149,0.001748
1365.234375,0.086543,0.001624
1368.164062,0.023369,0.000438
1371.093750,0.075735,0.001421
1374.023438,0.057368,0.001076
1376.953125,0.058246,0.001093
1379.882812,0.068440,0.001284
1382.812500,0.067518,0.001267
1385.742188,0.076415,0.001434
1388.671875,0.063575,0.001193
1391.601562,0.088846,0.001667
1394.531250,0.069663,0.001307
1397.460938,0.067349,0.001264
1400.390625,0.076569,0.001437
1403.320312,0.066699,0.001251
1406.250000,0.081105,0.001522
1409.179688,0.084221,0.001580
1412.109375,0.070832,0.001329
1415.039062,0.042872,0.000804
1417.968750,0.070410,0.001321
1420.898438,0.066737,0.001252
1423.828125,0.094010,0.001764
1426.757812,0.081651,0.001532
1429.687500,0.075814,0.001422
1432.617188,0.096904,0.001818
1435.546875,0.065540,0.001230
1438.476562,0.126034,0.002365
1441.406250,0.062821,0.001179
1444.335938,0.063814,0.001197
1447.265625,0.075160,0.001410
1450.195312,0.039169,0.000735
1453.125000,0.079523,0.001492
1456.054688,0.076519,0.001436
1458.984375,0.057926,0.001087
1461.914062,0.070805,0.001328
1464.843750,0.034881,0.000654
1467.773438,0.064713,0.001214
1470.703125,0.062681,0.001176
1473.632812,0.080638,0.001513
1476.562500,0.105734,0.001984
1479.492188,0.057690,0.001082
1482.421875,0.079654,0.001494
1485.351562,0.074828,0.001404
1488.281250,0.068985,0.001294
1491.210938,0.098019,0.001839
1494.140625,0.061472,0.001153
1497.070312,0.063399,0.001189
1500.000000,0.071108,0.001334
1502.929688,0.067474,0.001266
1505.859375,0.063318,0.001188
1508.789062,0.068923,0.001293
1511.718750,0.055886,0.001049
1514.648438,0.073335,0.001376
1517.578125,0.058692,0.001101
1520.507812,0.041297,0.000775
1523.437500,0.051225,0.000961
1526.367188,0.060821,0.001141
1529.296875,0.048811,0.000916
1532.226562,0.063887,0.001199
1535.156250,0.056135,0.001053
1538.085938,0.057552,0.001080
1541.015625,0.059721,0.001120
1543.945312,0.052461,0.000984
1546.875000,0.060508,0.001135
1549.804688,0.084444,0.001584
1552.734375,0.057936,0.001087
1555.664062,0.063222,0.001186
1558.593750,0.153894,0.002887
1561.523438,0.060043,0.001127
1564.453125,0.062724,0.001177
1567.382812,0.061819,0.001160
1570.312500,0.064520,0.001211
1573.242188,0.073062,0.001371
1576.171875,0.059547,0.001117
1579.101562,0.061541,0.001155
1582.031250,0.048705,0.000914
1584.960938,0.060962,0.001144
1587.890625,0.061541,0.001155
1590.820312,0.073301,0.001375
1593.750000,0.054374,0.001020
1596.679688,0.052572,0.000986
1599.609375,0.062950,0.001181
1602.539062,0.067273,0.001262
1605.468750,0.070608,0.001325
1608.398438,0.051241,0.000961
1611.328125,0.032182,0.000604
1614.257812,0.056876,0.001067
1617.187500,0.066414,0.001246
1620.117188,0.080506,0.001510
1623.046875,0.083847,0.001573
1625.976562,0.089551,0.001680
1628.906250,0.061892,0.001161
1631.835938,0.068449,0.001284
1634.765625,0.039531,0.000742
1637.695312,0.055438,0.001040
1640.625000,0.056400,0.001058
1643.554688,0.065657,0.001232
1646.484375,0.055905,0.001049
1649.414062,0.071690,0.001345
1652.343750,0.072222,0.001355
1655.273438,0.027575,0.000517
1658.203125,0.069215,0.001299
1661.132812,0.071619,0.001344
1664.062500,0.055134,0.001034
1666.992188,0.054268,0.001018
1669.921875,0.058994,0.001107
1672.851562,0.046090,0.000865
1675.781250,0.079108,0.001484
1678.710938,0.118074,0.002215
1681.640625,0.061431,0.001153
1684.570312,0.073785,0.001384
1687.500000,0.052535,0.000986
1690.429688,0.073266,0.001375
1693.359375,0.048264,0.000906
1696.289062,0.061577,0.001155
1699.218750,0.049622,0.000931
1702.148438,0.020861,0.000391
1705.078125,0.069409,0.001302
1708.007812,0.078328,0.001470
1710.937500,0.053669,0.001007
1713.867188,0.063450,0.001190
1716.796875,0.077182,0.001448
1719.726562,0.053669,0.001007
1722.656250,0.076222,0.001430
1725.585938,0.054919,0.001030
1728.515625,0.063614,0.001194
1731.445312,0.060634,0.001138
1734.375000,0.066671,0.001251
1737.304688,0.041583,0.000780
1740.234375,0.044799,0.000841
1743.164062,0.027025,0.000507
1746.093750,0.056823,0.001066
1749.023438,0.051943,0.000975
1751.953125,0.070419,0.001321
1754.882812,0.054530,0.001023
1757.812500,0.009105,0.000171
1760.742188,0.058709,0.001102
1763.671875,0.082922,0.001556
1766.601562,0.058319,0.001094
1769.531250,0.043412,0.000815
1772.460938,0.065615,0.001231
1775.390625,0.046345,0.000870
1778.320312,0.089019,0.001670
1781.250000,0.103522,0.001942
1784.179688,0.048359,0.000907
1787.109375,0.043416,0.000815
1790.039062,0.060756,0.001140
1792.968750,0.082960,0.001557
1795.898438,0.116521,0.002186
1798.828125,0.014093,0.000264
1801.757812,0.044561,0.000836
1804.687500,0.039935,0.000749
1807.617188,0.073870,0.001386
1810.546875,0.025640,0.000481
1813.476562,0.044267,0.000831
1816.406250,0.046387,0.000870
1819.335938,0.047925,0.000899
1822.265625,0.066170,0.001241
1825.195312,0.065555,0.001230
1828.125000,0.042290,0.000793
1831.054688,0.043426,0.000815
1833.984375,0.057808,0.001085
1836.914062,0.045500,0.000854
1839.843750,0.072078,0.001352
1842.773438,0.056854,0.001067
1845.703125,0.045277,0.000849
1848.632812,0.058963,0.001106
1851.562500,0.068450,0.001284
1854.492188,0.086151,0.001616
1857.421875,0.060788,0.001141
1860.351562,0.055178,0.001035
1863.281250,0.056365,0.001058
1866.210938,0.058519,0.001098
1869.140625,0.058015,0.001088
1872.070312,0.047426,0.000890
1875.000000,0.061615,0.001156
1877.929688,0.022769,0.000427
1880.859375,0.066460,0.001247
1883.789062,0.048460,0.000909
1886.718750,0.045482,0.000853
1889.648438,0.072829,0.001366
1892.578125,0.040149,0.000753
1895.507812,0.056789,0.001065
1898.437500,0.070759,0.001328
1901.367188,0.066488,0.001247
1904.296875,0.068353,0.001282
1907.226562,0.053700,0.001008
1910.156250,0.064530,0.001211
1913.085938,0.082818,0.001554
1916.015625,0.110927,0.002081
1918.945312,0.076604,0.001437
1921.875000,0.047710,0.000895
1924.804688,0.079329,0.001488
1927.734375,0.053328,0.001001
1930.664062,0.052201,0.000979
1933.593750,0.025407,0.000477
1936.523438,0.066325,0.001244
1939.453125,0.065280,0.001225
1942.382812,0.063273,0.001187
1945.312500,0.044997,0.000844
1948.242188,0.043061,0.000808
1951.171875,0.033585,0.000630
1954.101562,0.083899,0.001574
1957.031250,0.023309,0.000437
1959.960938,0.065193,0.001223
1962.890625,0.061111,0.001147
1965.820312,0.083936,0.001575
1968.750000,0.048901,0.000917
1971.679688,0.076416,0.001434
1974.609375,0.020297,0.000381
1977.539062,0.079218,0.001486
1980.468750,0.053298,0.001000
1983.398438,0.066188,0.001242
1986.328125,0.078446,0.001472
1989.257812,0.039914,0.000749
1992.187500,0.047265,0.000887
1995.117188,0.056410,0.001058
1998.046875,0.092964,0.001744
2000.976562,0.101216,0.001899
2003.906250,0.008146,0.000153
2006.835938,0.036207,0.000679
2009.765625,0.050874,0.000955
2012.695312,0.056439,0.001059
2015.625000,0.062803,0.001178
2018.554688,0.026338,0.000494
2021.484375,0.045038,0.000845
2024.414062,0.048256,0.000905
2027.343750,0.058069,0.001090
2030.273438,0.049123,0.000922
2033.203125,0.043540,0.000817
2036.132812,0.042077,0.000789
2039.062500,0.094001,0.001764
2041.992188,0.055345,0.001038
2044.921875,0.078616,0.001475
2047.851562,0.031760,0.000596
2050.781250,0.090848,0.001705
2053.710938,0.042100,0.000790
2056.640625,0.042454,0.000797
2059.570312,0.057770,0.001084
2062.500000,0.045336,0.000851
2065.429688,0.048215,0.000905
2068.359375,0.024936,0.000468
2071.289062,0.067254,0.001262
2074.218750,0.045447,0.000853
2077.148438,0.069844,0.001310
2080.078125,0.026105,0.000490
2083.007812,0.050590,0.000949
2085.937500,0.070774,0.001328
2088.867188,0.066093,0.001240
2091.796875,0.035576,0.000667
2094.726562,0.052595,0.000987
2097.656250,0.053458,0.001003
2100.585938,0.043814,0.000822
2103.515625,0.044680,0.000838
2106.445312,0.054385,0.001020
2109.375000,0.043902,0.000824
2112.304688,0.067854,0.001273
2115.234375,0.068782,0.001291
2118.164062,0.075658,0.001420
2121.093750,0.057486,0.001079
2124.023438,0.063847,0.001198
2126.953125,0.052448,0.000984
2129.882812,0.051155,0.000960
2132.812500,0.061527,0.001154
2135.742188,0.037253,0.000699
2138.671875,0.035948,0.000674
2141.601562,0.034315,0.000644
2144.531250,0.049420,0.000927
2147.460938,0.023800,0.000447
2150.390625,0.056221,0.001055
2153.320312,0.040996,0.000769
2156.250000,0.060836,0.001141
2159.179688,0.088994,0.001670
2162.109375,0.058254,0.001093
2165.039062,0.041384,0.000776
2167.968750,0.062837,0.001179
2170.898438,0.060597,0.001137
2173.828125,0.053033,0.000995
2176.757812,0.066568,0.001249
2179.687500,0.044562,0.000836
2182.617188,0.046982,0.000881
2185.546875,0.050347,0.000945
2188.476562,0.060439,0.001134
2191.406250,0.054488,0.001022
2194.335938,0.030776,0.000577
2197.265625,0.061584,0.001155
2200.195312,0.049642,0.000931
2203.125000,0.048770,0.000915
2206.054688,0.068820,0.001291
2208.984375,0.009401,0.000176
2211.914062,0.046366,0.000870
2214.843750,0.057767,0.001084
2217.773438,0.050222,0.000942
2220.703125,0.063852,0.001198
2223.632812,0.056022,0.001051
2226.562500,0.062363,0.001170
2229.492188,0.046559,0.000874
2232.421875,0.033929,0.000637
2235.351562,0.045427,0.000852
2238.281250,0.032980,0.000619
2241.210938,0.033057,0.000620
2244.140625,0.045253,0.000849
2247.070312,0.049915,0.000937
2250.000000,0.046368,0.000870
2252.929688,0.054335,0.001019
2255.859375,0.039853,0.000748
2258.789062,0.051364,0.000964
2261.718750,0.057442,0.001078
2264.648438,0.067832,0.001273
2267.578125,0.022727,0.000426
2270.507812,0.052648,0.000988
2273.437500,0.044047,0.000826
2276.367188,0.099368,0.001864
2279.296875,0.035989,0.000675
2282.226562,0.030031,0.000563
2285.156250,0.044660,0.000838
2288.085938,0.045900,0.000861
2291.015625,0.021016,0.000394
2293.945312,0.040120,0.000753
2296.875000,0.048700,0.000914
2299.804688,0.034881,0.000654
2302.734375,0.050701,0.000951
2305.664062,0.033360,0.000626
2308.593750,0.053982,0.001013
2311.523438,0.045906,0.000861
2314.453125,0.039602,0.000743
2317.382812,0.048108,0.000903
2320.312500,0.022741,0.000427
2323.242188,0.050851,0.000954
2326.171875,0.042940,0.000806
2329.101562,0.038236,0.000717
2332.031250,0.053719,0.001008
2334.960938,0.061854,0.001161
2337.890625,0.022830,0.000428
2340.820312,0.061992,0.001163
2343.750000,0.041044,0.000770
2346.679688,0.051792,0.000972
2349.609375,0.058030,0.001089
2352.539062,0.025419,0.000477
2355.468750,0.042560,0.000799
2358.398438,0.062837,0.001179
2361.328125,0.025834,0.000485
2364.257812,0.037936,0.000712
2367.187500,0.049399,0.000927
2370.117188,0.019866,0.000373
2373.046875,0.047738,0.000896
2375.976562,0.039589,0.000743
2378.906250,0.058534,0.001098
2381.835938,0.056643,0.001063
2384.765625,0.044184,0.000829
2387.695312,0.043547,0.000817
2390.625000,0.062501,0.001173
2393.554688,0.082004,0.001539
2396.484375,0.094809,0.001779
2399.414062,0.051411,0.000965
2402.343750,0.062447,0.001172
2405.273438,0.048508,0.000910
2408.203125,0.063729,0.001196
2411.132812,0.051243,0.000961
2414.062500,0.056251,0.001055
2416.992188,0.039550,0.000742
2419.921875,0.052139,0.000978
2422.851562,0.048082,0.000902
2425.781250,0.045357,0.000851
2428.710938,0.063161,0.001185
2431.640625,0.065777,0.001234
2434.570312,0.052036,0.000976
2437.500000,0.027497,0.000516
2440.429688,0.055046,0.001033
2443.359375,0.045282,0.000850
2446.289062,0.050398,0.000946
2449.218750,0.061772,0.001159
2452.148438,0.036588,0.000686
2455.078125,0.036327,0.000682
2458.007812,0.038574,0.000724
2460.937500,0.045075,0.000846
2463.867188,0.053275,0.001000
2466.796875,0.058831,0.001104
2469.726562,0.046662,0.000875
2472.656250,0.028064,0.000527
2475.585938,0.057062,0.001071
2478.515625,0.046850,0.000879
2481.445312,0.066478,0.001247
2484.375000,0.045556,0.000855
2487.304688,0.017525,0.000329
2490.234375,0.035503,0.000666
2493.164062,0.034074,0.000639
2496.093750,0.041546,0.000779
2499.023438,0.045383,0.000851
2501.953125,0.040171,0.000754
2504.882812,0.025758,0.000483
2507.812500,0.051314,0.000963
2510.742188,0.040202,0.000754
2513.671875,0.018767,0.000352
2516.601562,0.015439,0.000290
2519.531250,0.057349,0.001076
2522.460938,0.029679,0.000557
2525.390625,0.090426,0.001697
2528.320312,0.036077,0.000677
2531.250000,0.043219,0.000811
2534.179688,0.072762,0.001365
2537.109375,0.038249,0.000718
2540.039062,0.032327,0.000607
2542.968750,0.041454,0.000778
2545.898438,0.027773,0.000521
2548.828125,0.015436,0.000290
2551.757812,0.066627,0.001250
2554.687500,0.043818,0.000822
2557.617188,0.058164,0.001091
2560.546875,0.034506,0.000647
2563.476562,0.047855,0.000898
2566.406250,0.037612,0.000706
2569.335938,0.049814,0.000935
2572.265625,0.031997,0.000600
2575.195312,0.038610,0.000724
2578.125000,0.041989,0.000788
2581.054688,0.014996,0.000281
2583.984375,0.042666,0.000801
2586.914062,0.030245,0.000567
2589.843750,0.040662,0.000763
2592.773438,0.051979,0.000975
2595.703125,0.054132,0.001016
2598.632812,0.048990,0.000919
2601.562500,0.030797,0.000578
2604.492188,0.039690,0.000745
2607.421875,0.043327,0.000813
2610.351562,0.030378,0.000570
2613.281250,0.028267,0.000530
2616.210938,0.035968,0.000675
